ADDRESS,CITY,STATE OR PROVINCE,YEAR BUILT,ZIP OR POSTAL CODE,PRICE,SQUARE FEET,LATITUDE,LONGITUDE,HEATING AMENITIES
3405 W Morrison Ave,Tampa,FL,2022,33629,3550000,5007,27.934149,-82.50019,"['Heating Information: Electric; Natural Gas; Zoned']"
3306 W Leona St,Tampa,FL,2022,33629,1717344,3935,27.914557,-82.49759,"['Heating Information: Central; Electric'; 'Cooling Information: Central Air; Mini-Split Unit(s)']"
4118 W Vasconia St,Tampa,FL,2022,33629,2300000,4557,27.912231,-82.51381,"['Heating Information: Central; Electric']"
4103 W Zelar St,Tampa,FL,2022,33629,2296643,4476,27.931425,-82.51243,"['Heating Information: Central; Electric; Heat Pump; Zoned']"
3405 W Corona St,Tampa,FL,2022,33629,2277223,5752,27.91424,-82.49951,['Heating Type: Forced Air']
5117 W Poe Ave,Tampa,FL,2022,33629,8500000,6500,27.919771,-82.53351,"['Heating Information: Central; Electric']"
4003 W San Juan St,Tampa,FL,2022,33629,967000,3051,27.918598,-82.51051,['Heating Information: Heat Pump']
2207 S Church Ave,Tampa,FL,2022,33629,1767729,4372,27.925007,-82.50816,"['Heating Information: Central; Electric; Heat Pump; Natural Gas; Zoned']"
4705 W Euclid Ave,Tampa,FL,2022,33629,1150000,2300,27.90908,-82.5249,"['Heating Information: Central; Electric; Exhaust Fan; Heat Pump; Zoned']"
4605 W Leona St,Tampa,FL,2022,33629,2250000,4605,27.915537,-82.52144,"['Heating Information: Central; Natural Gas']"
3912 W Leona St,Tampa,FL,2022,33629,2018689,4117,27.914637,-82.50949,"['Heating Information: Central; Electric; Heat Pump']"
3603 S Renellie Dr,Tampa,FL,2022,33629,906599,3127,27.91048,-82.5247,"['Heating Information: Electric; Heat Pump']"
4815 W Sunset Blvd,Tampa,FL,2022,33629,2277025,5077,27.922373,-82.525024,"['Heating Information: Central; Electric; Zoned']"
3616 S Hesperides St,Tampa,FL,2022,33629,999000,3200,27.910156,-82.51958,"['Heating Information: Central; Electric']"
3625 S Hesperides St,Tampa,FL,2022,33629,999000,3200,27.909344,-82.521355,"['Heating Information: Central; Electric']"
1800 S Habana Ave,Tampa,FL,2022,33629,570000,4275,27.927963,-82.48896,['Heating Type: Forced Air']
